codal;na;mg;P;k;Ca;Mn;Fe;Cu;Zn;Se;Iode;glucides;glus;energie;fibres;eau;lipides;ags;agp;LAom6;ALAom3;om3epa;om3dha;ret;bcar;vitd;vite;vitc;vitb1;vitb2;vitb5;vitb6;vitb12;vitb9;alcool;chol;Phytates;epadha;vita;vitb3_en;MFP;eq_thenoir;fer_nonhem;fer_hem;mg_dis;energie_d;qte_d;glus_slac;proteines_d;proteines_N_d
12045;509.00;20.20;322.00;104.00;396.00;0.0000;0.320;0.1100;4.4400;5.100;19.00;0.00;0.000;328.00;0.0000;49.100;27.400;18.8000;1.0400;0.4100;0.2000;0.01900;0.00000;188.00;84.00;0.250;0.440;0.000;0.0200;0.6400;0.7400;0.1800;1.0000;25.00;0.0000;89.90;0;0.01900;195.00;5.2912;0.00;0.00000;0.320;0.00000;0.00;328.00;100;0.0000;20.4000;19.9000
12048;483.00;35.80;435.00;80.70;628.00;0.0200;0.250;0.0400;4.0000;6.000;48.00;0.50;0.500;334.00;0.0000;45.200;26.800;18.3000;0.6650;0.3852;0.1092;0.00904;0.00092;160.00;100.00;0.200;0.600;0.000;0.0000;0.3000;0.2000;0.0600;1.5000;12.00;0.0000;87.00;0;0.00997;168.33;4.6021;0.00;0.00000;0.250;0.00000;0.00;334.00;100;0.4000;22.7000;22.2375
12049;600.00;10.30;442.00;187.00;116.00;0.0200;0.280;0.0700;0.8500;0.510;36.00;0.00;0.000;283.00;0.0000;53.100;22.700;16.0000;0.7300;0.4000;0.1100;0.00970;0.00000;180.00;100.00;0.250;0.500;0.000;0.0000;0.3000;0.2000;0.0600;1.0000;133.00;0.0000;85.00;0;0.00970;188.33;3.4361;0.00;0.00000;0.280;0.00000;0.00;283.00;100;0.0000;13.9000;13.6000
12051;523.00;30.00;430.00;120.00;491.00;0.0200;0.280;0.0700;8.0000;5.800;30.00;0.00;0.000;304.00;0.0000;52.900;25.400;16.3000;1.2100;0.4400;0.1300;0.01100;0.00000;188.00;100.00;0.250;0.440;0.000;0.0200;0.6400;0.7400;0.1800;1.0000;77.30;0.0000;85.00;0;0.01100;196.33;5.3067;0.00;0.00000;0.280;0.00000;0.00;304.00;100;0.0000;18.9000;18.5000
12061;1040.00;18.30;207.00;95.00;318.00;0.0000;0.200;0.0500;1.0300;6.450;21.00;2.50;0.130;280.00;0.0000;54.400;22.800;14.3000;1.0400;0.6000;0.3000;0.00150;0.00000;179.00;0.00;0.500;0.370;0.000;0.0550;0.2900;0.2700;0.0700;0.7700;29.50;0.0000;60.30;0;0.00150;179.00;3.6010;0.00;0.00000;0.200;0.00000;0.00;280.00;100;0.0780;14.8000;14.5000
12100;405.00;43.80;690.00;103.00;1050.00;0.0500;0.400;0.1300;5.2000;8.200;30.00;0.40;0.400;379.00;0.0000;36.500;28.700;17.5000;0.9200;0.3513;0.1502;0.00794;0.00069;204.00;107.00;0.700;0.500;0.000;0.0400;0.3000;0.3500;0.0800;2.0000;9.20;0.0000;99.00;0;0.00863;212.92;6.3472;0.00;0.00000;0.400;0.00000;0.00;379.00;100;0.3864;29.7000;29.0948
12105;506.00;39.20;788.00;118.00;745.00;0.0300;0.240;0.0900;4.7500;7.220;37.00;0.00;0.000;414.00;0.0000;34.300;34.000;19.2000;1.4200;0.6100;0.3300;0.02400;0.00000;230.00;100.00;0.460;0.430;0.000;0.0360;0.3700;0.2200;0.0810;1.8000;15.00;0.0000;95.60;0;0.02400;238.33;5.4734;0.00;0.00000;0.240;0.00000;0.00;414.00;100;0.0000;26.6000;26.0000
12110;322.00;51.00;681.00;120.00;993.00;0.0300;0.200;0.6100;3.8400;7.020;23.00;0.00;0.000;425.00;0.0000;33.200;34.600;22.5000;1.6300;0.4500;0.2100;0.02500;0.00000;263.00;100.00;0.460;0.800;0.000;0.0360;0.3800;0.2200;0.0810;2.5900;5.00;0.0000;115.00;0;0.02500;271.33;5.4802;0.00;0.00000;0.200;0.00000;0.00;425.00;100;0.0000;27.2000;26.7000
12114;320.00;39.20;608.00;101.00;1090.00;0.0310;0.290;0.4100;4.8900;5.330;13.80;0.00;0.000;427.00;0.0000;32.500;34.500;19.8000;1.4700;0.6300;0.3400;0.00000;0.00000;262.00;33.00;0.440;0.520;0.000;0.0500;0.3900;0.4300;0.0810;1.5500;15.00;0.0000;94.70;0;0.00000;264.75;6.3183;0.00;0.00000;0.290;0.00000;0.00;427.00;100;0.0000;28.4000;27.9000
12115;362.00;48.90;654.00;98.70;898.00;0.0240;0.150;0.0430;3.4800;5.000;22.90;0.00;0.083;386.00;0.0000;38.700;30.200;18.9000;1.2100;0.5000;0.1200;0.01100;0.00000;230.00;133.00;1.050;0.740;0.000;0.0400;0.4200;0.2200;0.0800;1.7600;20.00;0.0000;96.50;0;0.01100;241.08;6.1746;0.00;0.00000;0.150;0.00000;0.00;386.00;100;0.0830;28.2000;27.6000
12116;328.00;45.00;650.00;110.00;1000.00;0.0900;0.200;0.0900;4.1000;10.000;32.30;0.00;0.000;276.00;0.0000;47.000;16.000;9.6600;0.4500;0.2500;0.1100;0.00570;0.00000;108.00;100.00;0.480;0.220;0.000;0.0500;0.2500;0.2100;0.0900;1.8400;9.20;0.0000;67.00;0;0.00570;116.33;6.7325;0.00;0.00000;0.200;0.00000;0.00;276.00;100;0.0000;30.6000;30.0000
12120;617.00;43.50;735.00;100.00;1160.00;0.0400;0.840;0.0310;3.3500;12.500;131.00;0.00;0.083;431.00;0.0000;33.800;32.700;19.9000;1.3600;0.5900;0.1300;0.01200;0.00000;216.00;66.00;0.380;0.460;0.000;0.0360;0.3700;0.4000;0.0900;2.3300;7.75;0.0000;78.80;0;0.01200;221.50;7.2774;0.00;0.00000;0.840;0.00000;0.00;431.00;100;0.0593;34.2000;33.5000
12305;282.00;24.00;990.00;152.00;346.00;0.0200;0.300;0.5000;8.0000;7.400;20.00;2.70;2.700;146.00;0.0000;68.300;7.910;4.9000;0.2200;0.1385;0.0420;0.00268;0.00130;140.00;73.00;0.190;0.420;0.000;0.0900;0.4000;1.5000;0.0500;0.2700;12.00;0.0000;23.00;0;0.00398;146.08;3.2504;0.00;0.00000;0.300;0.00000;0.00;146.00;100;0.3600;15.0000;14.6944
12310;622.00;22.00;750.00;199.00;388.00;0.0410;0.270;0.3500;2.6000;8.000;19.40;6.46;6.460;278.00;0.0000;52.600;21.400;14.3000;0.6400;0.3700;0.1400;0.00810;0.00000;223.00;74.90;0.250;0.630;0.000;0.0900;0.3600;0.4000;0.0250;0.9000;7.00;0.0000;59.50;0;0.00810;229.24;2.9204;0.00;0.00000;0.270;0.00000;0.00;278.00;100;0.0000;12.9000;12.7000
12320;610.00;18.00;250.00;117.00;50.00;0.0500;0.200;0.0500;2.0000;6.700;20.00;2.00;1.770;320.00;0.0000;53.800;30.300;18.6000;0.9200;0.4600;0.1700;0.01200;0.00000;300.00;74.90;0.260;0.630;0.000;0.0900;0.3200;0.4700;0.0400;0.9000;11.80;0.0000;105.00;0;0.01200;306.24;2.2402;0.00;0.00000;0.200;0.00000;0.00;320.00;100;0.1011;8.8200;8.6400
12325;616.00;8.00;425.00;59.00;107.00;0.0200;0.130;0.1000;1.4000;4.500;20.00;1.00;0.300;129.00;0.0000;74.100;7.370;4.4900;0.2200;0.1400;0.0440;0.00320;0.00170;65.20;74.90;0.200;0.150;0.000;0.0800;0.3100;0.4000;0.0400;0.3900;12.00;0.0000;26.00;0;0.00490;71.44;3.4363;0.00;0.00000;0.130;0.00000;0.00;129.00;100;0.2850;14.8000;14.5000
12355;665.00;31.00;590.00;160.00;260.00;0.0200;0.450;0.1700;1.3000;25.000;10.00;4.20;2.670;346.00;1.0000;50.800;31.600;16.8000;4.9600;3.9700;0.8700;0.01500;0.01500;186.00;74.90;0.330;0.700;0.000;0.0560;0.1100;0.1800;0.0540;0.3000;17.90;0.0000;68.80;0;0.03000;192.24;2.4494;0.00;0.00000;0.450;0.00000;0.00;346.00;100;0.0000;10.7000;10.4000
12356;543.00;21.00;383.00;131.00;145.00;0.0200;0.630;0.4000;3.7900;5.450;14.80;24.10;3.100;312.00;1.2000;42.600;18.900;11.3000;0.7100;0.3500;0.1100;0.00820;0.00450;188.00;74.90;0.270;0.990;0.000;0.1500;0.3000;0.3600;0.0700;0.6300;11.50;0.0000;49.00;0;0.01270;194.24;2.8595;0.00;0.00000;0.630;0.00000;0.00;312.00;100;0.0000;10.5400;10.3448
12500;1460.00;31.50;392.00;100.00;645.00;0.0190;0.110;0.0280;1.9200;5.000;50.00;0.00;0.000;359.00;0.0000;43.800;30.900;22.4000;1.3000;0.5600;0.3000;0.02200;0.00370;212.00;74.00;0.240;0.120;0.000;0.0440;0.6700;0.6200;0.0810;0.5700;29.10;0.0000;74.70;0;0.02570;218.17;5.8013;0.00;0.00000;0.110;0.00000;0.00;359.00;100;0.0000;19.6000;19.2000
12520;851.00;23.00;322.00;130.00;438.00;0.0500;0.230;0.0500;3.8800;5.500;160.00;0.00;0.130;339.00;0.0000;46.100;28.300;17.7000;0.9700;0.4500;0.1900;0.01700;0.00000;224.00;74.00;0.420;0.590;0.000;0.0350;0.4300;1.7300;0.2000;1.3500;36.00;0.0000;94.70;0;0.01700;230.17;6.1590;0.00;0.00000;0.230;0.00000;0.00;339.00;100;0.1300;19.9000;19.5000
12521;1070.00;18.10;301.00;126.00;516.00;0.0500;0.300;0.0700;2.6900;3.730;27.00;0.00;0.000;348.00;0.0000;44.100;28.400;19.0000;0.8100;0.3500;0.1900;0.01700;0.00340;250.00;74.00;0.240;0.140;0.000;0.0390;0.5500;0.6600;0.1100;0.8500;54.80;0.0000;59.00;0;0.02040;256.17;7.0458;0.00;0.00000;0.300;0.00000;0.00;348.00;100;0.0000;22.4000;22.0000
12522;1203.00;20.50;841.00;131.00;490.00;0.0200;0.360;0.1100;6.2000;3.700;27.00;0.00;0.000;336.00;0.0000;46.100;28.500;18.2000;0.7700;0.3858;0.1408;0.01278;0.00284;127.00;25.00;0.230;0.700;0.000;0.0300;0.5000;2.0000;0.1700;1.2000;94.00;0.0000;97.00;0;0.01561;129.08;6.0231;0.00;0.00000;0.360;0.00000;0.00;336.00;100;0.0000;19.8000;19.3966
12523;851.00;23.00;322.00;130.00;438.00;0.0500;0.230;0.0500;3.8800;5.500;160.00;0.00;0.130;339.00;0.0000;46.100;28.300;17.7000;0.9700;0.4500;0.1900;0.01700;0.00000;224.00;74.00;0.420;0.590;0.000;0.0350;0.4300;1.7300;0.2000;1.3500;36.00;0.0000;94.70;0;0.01700;230.17;6.1590;0.00;0.00000;0.230;0.00000;0.00;339.00;100;0.1300;19.9000;19.5000
12524;710.00;18.00;310.00;110.00;390.00;0.0100;0.080;0.0200;2.1000;10.000;70.00;0.00;0.150;315.00;0.0000;51.100;26.400;16.9000;0.7500;0.6400;0.0770;0.00620;0.00620;286.00;168.00;0.240;0.160;0.250;0.0700;0.3200;0.8100;0.1300;0.7300;41.20;0.0000;81.10;0;0.01240;300.00;7.4918;0.00;0.00000;0.080;0.00000;0.00;315.00;100;0.1500;19.0000;18.6000
12527;450.00;17.00;320.00;125.00;434.00;0.0500;0.500;0.0500;2.5000;16.100;48.00;0.00;0.000;344.00;0.0000;50.600;30.500;19.4000;0.9000;0.4000;0.1400;0.01800;0.00360;108.00;25.00;0.100;0.050;0.000;0.0250;0.4600;0.4900;0.0700;0.7400;47.00;0.0000;91.00;0;0.02160;110.08;6.0021;0.00;0.00000;0.500;0.00000;0.00;344.00;100;0.0000;17.4000;17.0000
12705;824.00;31.60;568.00;76.30;717.00;0.0590;0.210;0.0860;4.2300;9.630;24.40;0.00;0.000;242.00;0.0000;52.200;13.800;8.9000;0.3600;0.2000;0.0800;0.00680;0.00000;117.00;100.00;0.160;0.350;0.000;0.0580;0.3200;0.3400;0.0850;1.5600;59.50;0.0000;45.30;0;0.00680;125.33;7.3273;0.00;0.00000;0.210;0.00000;0.00;242.00;100;0.0000;29.0000;28.4000
12708;610.00;31.30;469.00;83.00;759.00;0.0360;0.300;0.0570;3.1000;8.500;21.90;0.07;0.070;341.00;0.0000;44.100;27.800;17.1000;1.3000;0.6241;0.2503;0.01344;0.00310;110.00;95.00;55.300;0.580;0.500;0.0320;0.5100;0.3100;0.0800;2.0000;40.00;0.0000;81.00;0;0.01654;117.92;5.7672;0.00;0.00000;0.300;0.00000;0.00;341.00;100;0.0700;22.7000;22.2375
12720;635.00;29.30;546.00;74.50;608.00;0.0140;0.150;0.0300;2.5700;5.000;27.00;0.00;0.000;345.00;0.0000;44.000;27.400;18.1000;0.8000;0.4000;0.1600;0.00860;0.00000;229.00;100.00;0.400;0.320;0.000;0.0300;0.3300;0.3200;0.0800;0.0000;21.00;0.0000;94.20;0;0.00860;237.33;6.3995;0.00;0.00000;0.150;0.00000;0.00;345.00;100;0.0000;24.6000;24.6000
12723;768.00;28.90;500.00;100.00;810.00;0.0400;0.540;0.0900;3.6000;5.440;21.00;0.00;0.250;378.00;0.0000;39.100;30.500;20.9000;0.8800;0.3900;0.1700;0.01900;0.03300;160.00;140.00;0.400;0.320;0.000;0.0320;0.3300;0.3200;0.0780;1.1200;17.80;0.0000;94.20;0;0.05200;171.67;5.4421;0.00;0.00000;0.540;0.00000;0.00;378.00;100;0.2500;24.6000;24.1000
12726;644.00;27.00;473.00;76.00;675.00;0.0330;0.160;0.0560;3.4300;11.100;36.00;0.00;0.000;405.00;0.0000;37.100;33.800;19.5000;1.3800;0.5500;0.1800;0.01000;0.00000;256.00;85.00;0.600;0.780;0.000;0.0270;0.4300;0.4800;0.0490;0.8800;26.00;0.0000;102.00;0;0.01000;263.08;6.6475;0.00;0.00000;0.160;0.00000;0.00;405.00;100;0.0000;24.0000;23.6000
12729;890.00;41.20;497.00;106.00;802.00;0.0180;0.120;0.0560;3.0900;5.000;37.00;0.00;0.130;348.00;0.0000;41.100;26.500;17.3000;0.6400;0.2500;0.1300;0.00000;0.00000;229.00;11.00;0.500;0.240;0.000;0.0370;0.3900;0.2800;0.0760;1.5400;16.00;0.0000;90.00;0;0.00000;229.92;5.3406;0.00;0.00000;0.120;0.00000;0.00;348.00;100;0.1300;25.4000;24.9000
12736;753.00;29.50;543.00;118.00;728.00;0.0500;0.220;0.0360;3.9000;9.020;28.00;0.00;0.130;385.00;0.0000;38.400;31.500;19.9000;0.7000;0.3400;0.1500;0.00000;0.00000;177.00;32.30;0.500;0.240;0.000;0.0300;0.3300;0.3400;0.0800;1.5400;21.00;0.0000;103.00;0;0.00000;179.69;5.1356;0.00;0.00000;0.220;0.00000;0.00;385.00;100;0.1300;23.2000;22.8000
12740;1140.00;37.10;514.00;103.00;816.00;0.0300;0.500;0.0700;3.1000;4.900;5.00;0.00;0.083;314.00;0.0000;45.500;23.400;16.8000;0.5800;0.3400;0.1300;0.00730;0.00000;120.00;112.00;0.100;0.300;0.000;0.0300;0.3300;0.3200;0.0250;0.5700;18.40;0.0000;67.00;0;0.00730;129.33;5.0417;0.00;0.00000;0.500;0.00000;0.00;314.00;100;0.0830;24.9000;24.4000
12743;638.00;30.00;520.00;100.00;638.00;0.0400;0.210;0.0600;7.0000;8.000;20.00;0.00;0.000;357.00;0.0000;43.600;29.500;20.5000;0.9000;0.4300;0.1700;0.00920;0.00000;229.00;100.00;0.400;0.320;0.000;0.0320;0.3300;0.3200;0.0780;1.1200;25.50;0.0000;94.20;0;0.00920;237.33;4.7811;0.00;0.00000;0.210;0.00000;0.00;357.00;100;0.0000;22.5000;22.0000
12746;824.00;27.00;450.00;68.00;635.00;0.0600;0.220;0.0700;3.8000;5.100;35.00;0.00;0.000;355.00;0.0000;41.500;29.500;18.7000;0.7000;0.3361;0.1348;0.00724;0.00167;183.00;72.00;0.200;0.500;0.000;0.0400;0.3300;0.3400;0.0900;1.5000;60.00;0.0000;90.00;0;0.00890;189.00;4.8086;0.00;0.00000;0.220;0.00000;0.00;355.00;100;0.0000;22.4000;21.9436
12747;648.00;35.90;505.00;71.90;750.00;0.0500;0.300;0.0500;2.4000;19.900;124.00;0.00;0.000;404.00;0.0000;36.900;33.600;20.7000;1.0900;0.5600;0.2200;0.01100;0.00000;250.00;100.00;1.080;0.670;0.000;0.0320;0.4900;0.0800;0.0640;0.7300;26.80;0.0000;95.00;0;0.01100;258.33;5.7330;0.00;0.00000;0.300;0.00000;0.00;404.00;100;0.0000;24.1000;23.6000
12749;636.00;24.50;460.00;75.90;630.00;0.0500;0.210;0.0600;3.0000;8.000;20.00;0.00;0.000;347.00;0.0000;44.000;27.600;19.2000;0.8500;0.2800;0.0820;0.01200;0.00000;183.00;100.00;0.400;0.510;0.000;0.0320;0.3300;0.3200;0.0780;1.1200;51.00;0.0000;99.60;0;0.01200;191.33;5.1691;0.00;0.00000;0.210;0.00000;0.00;347.00;100;0.0000;24.6000;24.1000
12752;663.00;24.00;227.00;83.80;584.00;0.0350;0.220;0.0670;2.8300;5.110;30.00;0.00;0.250;346.00;0.0000;44.600;27.600;18.8000;0.7400;0.4100;0.2300;0.00870;0.00000;229.00;100.00;0.400;0.320;0.000;0.0320;0.4200;0.3200;0.0780;1.0300;25.50;0.0000;93.00;0;0.00870;237.33;4.8564;0.00;0.00000;0.220;0.00000;0.00;346.00;100;0.1668;23.4000;23.0000
12754;534.00;24.00;360.00;136.00;650.00;0.0110;0.430;0.0220;2.6000;14.500;20.00;0.57;0.570;314.00;0.0000;52.000;24.000;14.2000;0.6200;0.2977;0.1194;0.00641;0.00148;313.00;29.00;0.300;0.700;0.000;0.0140;0.2400;0.2100;0.0900;1.5000;18.00;0.0000;123.00;0;0.00789;315.42;4.7803;0.00;0.00000;0.430;0.00000;0.00;314.00;100;0.4700;23.8000;23.3150
12755;711.00;26.80;510.00;71.40;710.00;0.0590;0.170;0.0860;4.0000;8.000;16.90;0.00;0.130;314.00;0.0000;46.300;23.600;16.7000;0.7000;0.4500;0.0910;0.00740;0.00000;258.00;100.00;0.300;0.780;0.000;0.0500;0.3300;0.3400;0.0900;1.3800;60.00;0.0000;100.00;0;0.00740;266.33;5.1108;0.00;0.00000;0.170;0.00000;0.00;314.00;100;0.0910;22.2000;21.8000
12758;697.00;33.80;478.00;130.00;953.00;0.0220;0.210;0.1100;4.3600;3.730;20.00;0.00;0.130;362.00;0.0000;41.800;29.200;20.4000;0.7200;0.4000;0.1400;0.01200;0.00000;229.00;100.00;0.400;0.320;0.000;0.0320;0.3300;0.3200;0.0780;1.1200;25.50;0.0000;94.20;0;0.01200;237.33;5.1514;0.00;0.00000;0.210;0.00000;0.00;362.00;100;0.1300;23.9000;23.4000
12759;666.00;24.90;460.00;90.00;626.00;0.0200;0.200;0.0500;3.3000;5.000;20.00;0.00;0.250;369.00;0.0000;41.800;30.200;19.5000;1.0300;0.4700;0.2300;0.00000;0.02800;160.00;110.00;0.400;0.320;0.000;0.0320;0.3300;0.3200;0.0780;1.1200;26.90;0.0000;104.00;0;0.02800;169.17;5.0899;0.00;0.00000;0.200;0.00000;0.00;369.00;100;0.1957;23.4000;22.9000
12801;513.00;16.20;208.00;230.00;123.00;0.0200;0.310;0.0570;0.5600;10.900;31.00;0.00;0.000;326.00;0.0000;49.700;27.000;18.7000;0.8600;0.4700;0.1300;0.01200;0.00000;176.00;84.00;0.250;0.530;0.000;0.0210;0.8900;1.3000;0.2500;1.0000;84.20;0.0000;107.00;0;0.01200;183.00;6.2079;0.00;0.00000;0.310;0.00000;0.00;326.00;100;0.0000;20.7000;20.3000
12803;505.00;14.90;199.00;161.00;117.00;0.0200;0.280;0.0550;0.5800;10.800;30.60;0.00;0.000;320.00;0.0000;50.300;26.200;18.0000;0.8600;0.5700;0.1300;0.01200;0.00000;169.00;0.00;0.250;0.450;0.000;0.0210;0.7400;1.0300;0.2200;1.0000;81.50;0.0000;104.00;0;0.01200;169.00;6.0087;0.00;0.00000;0.280;0.00000;0.00;320.00;100;0.0000;20.4000;20.0000
12805;349.00;11.60;158.00;159.00;94.20;0.1000;0.250;0.0500;0.5900;6.040;28.70;2.05;2.050;234.00;0.0000;62.800;18.400;12.5000;0.6300;0.1400;0.0980;0.00250;0.00000;129.00;54.00;0.250;0.350;0.250;0.0200;0.3900;0.2400;0.0440;0.1900;47.00;0.0000;71.70;0;0.00250;133.50;3.9499;0.00;0.00000;0.250;0.00000;0.00;234.00;100;0.9635;14.6000;14.3000
12819;369.00;9.73;101.00;159.00;78.10;0.0240;0.140;0.0700;0.3700;4.000;32.90;2.41;2.410;221.00;0.0000;53.300;12.200;8.0800;0.4500;0.3100;0.0650;0.00430;0.00000;84.90;54.00;0.250;0.210;0.250;0.0200;0.2000;0.1300;0.0300;0.0800;26.50;0.0000;44.50;0;0.00430;89.40;2.8328;0.00;0.00000;0.140;0.00000;0.00;221.00;100;0.7624;10.8000;10.6000
12820;400.00;32.00;326.00;190.00;534.00;0.0000;0.320;0.0500;2.4000;10.700;26.70;0.00;0.000;299.00;0.0000;51.700;23.800;16.0000;0.8500;0.4300;0.1200;0.00560;0.00000;176.00;84.00;0.250;0.400;0.000;0.0200;0.4000;0.3500;0.2000;2.0000;60.80;0.0000;91.80;0;0.00560;183.00;5.3933;0.00;0.00000;0.320;0.00000;0.00;299.00;100;0.0000;19.9000;19.4000
12999;541.00;29.10;460.00;112.00;661.00;0.0500;0.380;0.0900;4.0000;6.700;29.00;0.40;0.300;337.00;0.0000;43.600;27.000;18.0000;0.7800;0.4518;0.1281;0.01061;0.00108;223.00;113.00;0.700;0.500;0.000;0.0500;0.4000;0.4600;0.1200;1.6000;47.30;0.0000;87.00;0;0.01169;232.42;5.5371;0.00;0.00000;0.380;0.00000;0.00;337.00;100;0.1973;23.2000;22.7273
13000;0.56;9.94;22.50;229.00;16.10;0.0710;0.190;0.0820;0.1400;5.000;0.35;8.53;7.840;48.50;1.8000;86.100;0.350;0.0240;0.0680;0.0590;0.0000;0.00000;0.00000;0.00;1090.00;0.000;0.890;10.000;0.0300;0.0400;0.2400;0.0540;0.0000;9.00;0.0000;0.02;60;0.00000;90.83;0.8050;0.00;0.00000;0.190;0.00000;0.00;48.50;100;7.8400;1.0830;1.0830
13001;39.00;36.50;68.40;1090.00;61.30;0.2400;4.330;0.3100;0.3000;2.200;3.20;42.90;39.400;223.00;5.7000;23.200;0.510;0.1600;0.1200;0.0690;0.0530;0.00000;0.00000;0.00;2160.00;0.000;4.170;1.000;0.0150;0.0670;0.6100;0.1600;0.0000;12.00;0.0000;0.15;60;0.00000;180.00;2.8623;0.00;0.00000;4.330;0.00000;0.00;223.00;100;39.3514;1.7670;1.7670
13002;0.97;20.30;11.00;142.00;21.50;3.6100;0.250;0.0670;0.0730;1.100;1.20;11.30;10.100;53.60;1.4200;85.500;0.240;0.0090;0.0400;0.0260;0.0140;0.00000;0.00000;0.00;35.00;0.000;0.060;36.400;0.0800;0.0260;0.1900;0.1000;0.0000;15.10;0.0000;0.00;60;0.00000;2.92;0.4574;0.00;0.00000;0.250;0.00000;0.00;53.60;100;10.1000;0.4940;0.4940
13003;1.00;10.70;7.20;102.00;14.50;1.0500;0.263;0.0410;0.0390;0.250;0.50;16.70;16.700;70.90;1.0000;76.400;0.280;0.0210;0.0930;0.0000;0.0000;0.00000;0.00000;0.00;48.00;0.000;0.073;9.460;0.0780;0.0160;0.0850;0.0720;0.0000;5.33;0.0000;0.00;10;0.00000;4.00;0.3328;0.00;0.00000;0.263;0.00000;0.00;70.90;100;16.5102;0.3705;0.3705
13004;31.90;27.40;47.20;390.00;11.20;0.1500;0.250;0.1500;0.3200;1.290;5.00;1.57;0.720;147.00;3.9500;76.700;13.800;2.1700;1.5700;1.3500;0.0810;0.00000;0.00000;0.00;42.50;0.000;1.770;5.490;0.0500;0.1300;0.7700;0.1200;0.0000;79.90;0.0000;0.25;80;0.00000;3.54;1.6014;0.00;0.00000;0.250;0.00000;0.00;147.00;100;0.6967;1.6720;1.6720
13005;0.56;34.90;24.70;360.00;4.12;0.3700;0.260;0.0820;0.1500;5.000;1.45;15.20;14.800;72.30;1.9000;80.200;0.250;0.0870;0.0770;0.0360;0.0330;0.00000;0.00000;0.00;26.00;0.000;0.330;2.070;0.0350;0.0490;0.3000;0.3800;0.0000;29.00;0.0000;0.07;3;0.00000;2.17;0.8683;0.00;0.00000;0.260;0.00000;0.00;72.30;100;14.7535;0.9310;0.9310
13006;8.00;90.00;75.00;1150.00;20.00;3.3000;1.300;0.4000;0.5000;0.900;3.00;60.20;43.700;262.00;5.5000;28.000;1.000;0.4000;0.2000;0.1591;0.0344;0.00000;0.00000;0.00;100.00;0.000;0.600;4.000;0.1000;0.1800;0.5000;1.3000;0.0000;70.00;0.0000;0.00;3;0.00000;8.33;2.5694;0.00;0.00000;1.300;0.00000;0.00;262.00;100;43.6460;2.8500;2.8500
13008;2.00;11.20;24.50;200.00;15.00;0.0560;0.170;0.0880;0.0540;5.000;0.25;12.70;12.700;63.70;1.7000;82.800;0.250;0.0550;0.0770;0.0390;0.0380;0.00000;0.00000;0.00;38.00;0.000;0.140;8.500;0.0260;0.0320;0.2300;0.0470;0.0000;6.00;0.0000;0.01;60;0.00000;3.17;0.3543;0.00;0.00000;0.170;0.00000;0.00;63.70;100;12.7000;1.1020;1.1020
13009;0.99;8.54;18.40;157.00;13.70;0.0150;0.340;0.0340;0.0540;2.090;0.65;3.10;2.850;38.70;1.2000;89.000;0.700;0.1500;0.3200;0.2200;0.0930;0.00000;0.00000;0.00;3.00;0.000;0.480;51.000;0.0430;0.0250;0.2100;0.0700;0.0000;21.50;0.0000;0.00;5;0.00000;0.25;0.2124;0.00;0.00000;0.340;0.00000;0.00;38.70;100;2.8500;0.7980;0.7980
13010;4.00;8.00;17.00;197.00;11.00;0.0710;0.700;0.1300;0.0400;1.100;0.40;13.40;6.300;60.10;1.9000;83.500;0.100;0.0085;0.0430;0.0360;0.0000;0.00000;0.00000;0.00;39.00;0.000;0.550;15.000;0.0200;0.0300;0.0810;0.0400;0.0000;3.00;0.0000;0.00;60;0.00000;3.25;0.2526;0.00;0.00000;0.700;0.00000;0.00;60.10;100;6.2967;0.4560;0.4560
13011;39.00;47.30;62.00;696.00;44.90;0.3000;0.900;0.2200;0.2300;3.050;1.40;64.70;64.700;287.00;7.3000;22.900;0.250;0.0750;0.0210;0.0180;0.0026;0.00000;0.00000;0.00;89.00;0.000;0.460;3.000;0.0400;0.0750;0.7900;0.1900;0.0000;18.00;0.0000;0.00;60;0.00000;7.42;1.6011;0.00;0.00000;0.900;0.00000;0.00;287.00;100;64.4661;1.7195;1.7195
13012;1.00;17.00;22.50;232.00;39.00;0.1300;0.370;0.0700;0.1500;0.000;1.50;14.30;14.300;72.80;2.6300;79.800;0.300;0.0690;0.1300;0.1100;0.0000;0.00000;0.00000;0.00;85.00;0.000;0.110;2.000;0.0600;0.0500;0.3000;0.1100;0.0000;7.50;0.0000;0.00;60;0.00000;7.08;0.5440;0.00;0.00000;0.370;0.00000;0.00;72.80;100;14.3000;0.8075;0.8075
13013;86.30;52.50;75.10;845.00;167.00;0.4000;2.120;0.2700;0.5100;1.100;2.55;55.50;49.200;262.00;10.0000;28.000;0.870;0.3500;0.2700;0.2200;0.0200;0.00000;0.00000;0.00;6.00;0.000;0.350;1.200;0.0850;0.0960;0.4300;0.1100;0.0000;9.00;0.0000;0.48;60;0.00000;0.50;1.0420;0.00;0.00000;2.120;0.00000;0.00;262.00;100;49.2000;2.8405;2.8405
13014;1.83;14.10;23.40;171.00;13.10;0.3000;0.180;0.0260;0.1100;5.000;0.90;6.14;4.730;34.30;1.5000;90.100;0.180;0.0180;0.1000;0.0550;0.0460;0.00000;0.00000;0.00;7.00;0.000;0.370;67.400;0.0230;0.0200;0.2300;0.0470;0.0000;70.50;0.0000;0.04;60;0.00000;0.58;0.6396;0.00;0.00000;0.180;0.00000;0.00;34.30;100;4.6911;0.6175;0.6175
