codal;na;mg;P;k;Ca;Mn;Fe;Cu;Zn;Se;Iode;glucides;glus;energie;fibres;eau;lipides;ags;agp;LAom6;ALAom3;om3epa;om3dha;ret;bcar;vitd;vite;vitc;vitb1;vitb2;vitb5;vitb6;vitb12;vitb9;alcool;chol;Phytates;epadha;vita;vitb3_en;MFP;eq_thenoir;fer_nonhem;fer_hem;mg_dis;energie_d;qte_d;glus_slac;proteines_d;proteines_N_d
81071;60.00;13.00;110.00;212.00;150.00;0.0000;0.100;0.0100;0.3600;3.200;20.00;4.80;4.800;49.30;0.0000;88.200;1.100;0.7000;0.0000;0.0000;0.0000;0.00000;0.00000;10.00;5.00;0.000;0.030;0.000;0.0400;0.1800;0.4000;0.0400;0.0000;2.00;0.0000;4.00;0;0.00000;10.42;0.8732;0.00;0.00000;0.100;0.00000;0.00;49.30;100;2.7182;4.3000;4.2124
81075;0.00;0.00;0.00;0.00;0.00;0.0000;0.000;0.0000;0.0000;2.500;0.80;0.00;0.000;900.00;0.0000;0.000;100.000;10.0000;69.6000;56.1000;11.9000;0.00000;0.00000;0.00;0.00;0.000;1.810;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.0000;1.09;0;0.00000;0.00;0.0000;0.00;0.00000;0.000;0.00000;0.00;900.00;100;0.0000;0.0000;0.0000
81081;0.00;2.30;0.70;0.00;0.90;0.0030;0.200;0.0030;0.0110;3.000;0.80;0.00;0.000;899.00;0.0000;0.100;99.900;12.7000;27.7000;23.9040;2.1716;0.00000;0.00780;0.00;0.00;0.000;30.100;0.000;0.0000;0.0000;0.0000;0.0000;0.0000;0.00;0.0000;0.00;0;0.00780;0.00;0.0000;0.00;0.00000;0.200;0.00000;0.00;899.00;100;0.0000;0.0000;0.0000
90003;681.00;27.70;83.00;164.00;21.30;0.5600;0.970;0.0860;0.5500;4.170;6.00;54.50;1.580;265.00;3.3200;31.000;0.930;0.0830;0.3300;0.3100;0.0240;0.00000;0.00000;0.00;2.00;0.000;0.390;0.000;0.1000;0.0450;0.4300;0.1500;0.1700;31.00;0.0000;0.37;70;0.00000;0.17;2.6068;0.00;0.00000;0.970;0.00000;0.00;265.00;100;1.5800;7.6285;8.3695
90024;193.00;12.30;134.00;123.00;32.70;0.2000;0.700;0.0500;0.4000;2.500;8.00;68.50;43.900;353.00;1.6400;17.900;6.500;0.9100;1.6100;1.1100;0.4200;0.00820;0.00170;20.00;2.00;0.200;2.700;0.250;0.0590;0.1300;0.4000;0.2100;0.1900;29.00;0.0000;62.60;70;0.00990;20.17;1.4627;0.00;0.00000;0.700;0.00000;0.00;353.00;100;42.4706;4.2674;4.2674
90031;255.00;21.30;163.00;229.00;50.50;0.2800;1.600;0.1520;0.7000;5.900;12.70;49.90;26.400;408.00;1.8000;21.300;20.400;11.4000;1.8200;1.3913;0.1811;0.00666;0.00679;148.00;115.00;0.430;2.150;0.330;0.0820;0.1200;0.5100;0.0600;0.2800;23.60;0.0000;137.00;70;0.01345;157.58;1.7805;0.00;0.00000;1.600;0.00000;0.00;408.00;100;25.6888;5.9555;6.5301
90032;542.00;30.90;93.30;185.00;300.00;0.7100;8.370;0.1750;0.7700;6.900;8.90;79.80;27.700;383.00;3.4000;3.100;3.800;1.6200;0.5640;0.4750;0.0216;0.00363;0.00473;0.00;0.00;0.000;1.270;27.400;1.2700;1.4200;4.7500;1.8000;0.9000;180.00;0.0000;0.30;200;0.00836;0.00;17.5177;0.00;0.00000;8.370;0.00000;0.00;383.00;100;27.1911;7.1250;7.8125
90057;43.80;11.60;84.30;153.00;106.00;0.0870;0.580;0.0200;0.5200;0.300;15.00;15.00;15.000;104.00;0.2000;77.400;2.900;1.8400;0.0800;0.0489;0.0141;0.00259;0.00249;24.00;34.00;0.040;0.140;1.500;0.0330;0.1700;0.3100;0.0560;0.1600;21.00;0.0000;10.00;0;0.00507;26.83;0.8686;0.00;0.00000;0.580;0.00000;0.00;104.00;100;14.2075;3.7000;3.6246
90061;622.00;22.00;750.00;199.00;388.00;0.0410;0.270;0.3500;2.6000;8.000;19.40;6.46;6.460;278.00;0.0000;52.600;21.400;14.3000;0.6400;0.3700;0.1400;0.00810;0.00000;223.00;74.90;0.250;0.630;0.000;0.0900;0.3600;0.4000;0.0250;0.9000;7.00;0.0000;59.50;0;0.00810;229.24;2.9204;0.00;0.00000;0.270;0.00000;0.00;278.00;100;0.0000;12.9000;12.7000
90067;506.00;7.60;178.00;123.00;76.20;0.0500;0.160;0.0500;0.8000;4.100;10.00;3.44;2.500;314.00;0.0000;59.800;29.800;18.4000;1.4700;0.5100;0.1500;0.01300;0.00000;232.00;54.00;0.400;0.660;0.500;0.0200;0.1700;0.2600;0.0500;0.2400;28.00;0.0000;69.30;0;0.01300;236.50;1.9762;0.00;0.00000;0.160;0.00000;0.00;314.00;100;1.6642;8.1200;7.9600
90068;552.00;19.30;331.00;148.00;449.00;0.0160;0.180;0.0300;2.5000;5.760;18.60;0.00;0.000;276.00;0.0000;55.400;21.100;13.9000;0.5700;0.3600;0.1300;0.00880;0.00000;163.00;84.00;0.520;0.570;0.000;0.0450;0.5400;0.8300;0.2500;1.0100;84.60;0.0000;72.30;0;0.00880;170.00;6.6314;0.00;0.00000;0.180;0.00000;0.00;276.00;100;0.0000;21.3000;20.9000
90069;511.00;6.00;266.00;112.00;141.00;0.0500;0.300;0.0500;0.5400;3.500;18.70;0.00;0.000;329.00;0.0000;51.200;29.400;18.5000;0.8900;0.4200;0.1500;0.01300;0.00000;268.00;84.00;0.310;0.800;0.000;0.0400;0.2000;0.2700;0.0550;0.5500;26.50;0.0000;79.50;0;0.01300;275.00;3.0058;0.00;0.00000;0.300;0.00000;0.00;329.00;100;0.0000;14.3000;14.0000
90070;610.00;12.00;95.00;110.00;86.50;0.0080;0.300;0.0500;0.5000;4.000;10.00;2.60;2.600;187.00;0.0000;66.800;13.200;8.3000;0.4000;0.2513;0.0525;0.00310;0.00253;165.00;110.00;0.240;0.380;0.500;0.0300;0.2400;0.5000;0.6600;0.7000;30.00;0.0000;48.00;0;0.00564;174.17;3.4349;0.00;0.00000;0.300;0.00000;0.00;187.00;100;1.6033;14.5000;14.2045
90071;511.00;6.00;266.00;112.00;141.00;0.0500;0.300;0.0500;0.5400;3.500;18.70;0.00;0.000;329.00;0.0000;51.200;29.400;18.5000;0.8900;0.4200;0.1500;0.01300;0.00000;268.00;84.00;0.310;0.800;0.000;0.0400;0.2000;0.2700;0.0550;0.5500;26.50;0.0000;79.50;0;0.01300;275.00;3.0058;0.00;0.00000;0.300;0.00000;0.00;329.00;100;0.0000;14.3000;14.0000
90072;617.00;15.20;359.00;90.00;329.00;0.0200;0.150;0.0700;6.2000;5.800;31.50;0.90;0.430;312.00;0.0000;51.900;26.000;18.2000;0.6000;0.3476;0.0985;0.00816;0.00083;200.00;100.00;1.000;0.600;0.670;0.0100;0.3500;0.2000;0.0600;1.9000;16.00;0.0000;65.20;0;0.00899;208.33;3.8510;0.00;0.00000;0.150;0.00000;0.00;312.00;100;0.3799;18.7000;18.3190
90075;617.00;15.20;359.00;90.00;329.00;0.0200;0.150;0.0700;6.2000;5.800;31.50;0.90;0.430;312.00;0.0000;51.900;26.000;18.2000;0.6000;0.3476;0.0985;0.00816;0.00083;200.00;100.00;1.000;0.600;0.670;0.0100;0.3500;0.2000;0.0600;1.9000;16.00;0.0000;65.20;0;0.00899;208.33;3.8510;0.00;0.00000;0.150;0.00000;0.00;312.00;100;0.3799;18.7000;18.3190
90076;393.00;34.00;519.00;81.00;771.00;0.0500;0.120;0.0500;3.0600;8.000;20.00;0.00;0.000;351.00;0.0000;41.500;26.600;16.5000;1.1200;0.3900;0.1500;0.00830;0.00000;240.00;100.00;0.200;0.500;0.000;0.0400;0.2800;0.3000;0.0700;1.9000;20.00;0.0000;97.00;0;0.00830;248.33;5.5618;0.00;0.00000;0.120;0.00000;0.00;351.00;100;0.0000;26.3000;25.8000
90083;753.00;29.50;543.00;118.00;728.00;0.0500;0.220;0.0360;3.9000;9.020;28.00;0.00;0.130;385.00;0.0000;38.400;31.500;19.9000;0.7000;0.3400;0.1500;0.00000;0.00000;177.00;32.30;0.500;0.240;0.000;0.0300;0.3300;0.3400;0.0800;1.5400;21.00;0.0000;103.00;0;0.00000;179.69;5.1356;0.00;0.00000;0.220;0.00000;0.00;385.00;100;0.1300;23.2000;22.8000
90084;610.00;18.00;250.00;117.00;50.00;0.0500;0.200;0.0500;2.0000;6.700;20.00;2.00;1.770;320.00;0.0000;53.800;30.300;18.6000;0.9200;0.4600;0.1700;0.01200;0.00000;300.00;74.90;0.260;0.630;0.000;0.0900;0.3200;0.4700;0.0400;0.9000;11.80;0.0000;105.00;0;0.01200;306.24;2.2402;0.00;0.00000;0.200;0.00000;0.00;320.00;100;0.1011;8.8200;8.6400
